Candidate evidence id,Candidate evidence left entity,Candidate evidence right entity,Relation present
1694,"designacion 14 (104, 105)","Profesor Asistente (30, 32)",True
1695,"designacion 14 (104, 105)","Profesor Asistente (143, 145)",True
1696,"designacion 14 (104, 105)","Prof . Ayudante A (166, 170)",True
1697,"designacion 14 (104, 105)","Prof . Asistente (179, 182)",False
1698,"designacion 15 (175, 176)","Profesor Asistente (30, 32)",False
1699,"designacion 15 (175, 176)","Profesor Asistente (143, 145)",True
1700,"designacion 15 (175, 176)","Prof . Ayudante A (166, 170)",True
1701,"designacion 15 (175, 176)","Prof . Asistente (179, 182)",True
1702,"designacion 16 (278, 279)","Profesores Asistentes (302, 304)",True
1703,"designacion 17 (407, 408)","Prof . Ayudante A (410, 414)",True
1704,"designacion 18 (445, 446)","Prof . Ayudante A (459, 463)",True
1705,"designacion 18 (445, 446)","Prof . Asistente (497, 500)",False
1706,"designacion 19 (494, 495)","Prof . Ayudante A (459, 463)",True
1707,"designacion 19 (494, 495)","Prof . Asistente (497, 500)",True
1708,"designacion 11 (221, 222)","Profesor Adjunto (224, 226)",True
1709,"designacion 12 (271, 272)","Profesor Asistente (292, 294)",True
1710,"designacion 0 (15, 16)","Profesor Asistente (44, 46)",True
1711,"designacion 0 (15, 16)","Profesor Asistente (70, 72)",True
1712,"designacion 0 (15, 16)","Profesor Ayudante A (94, 97)",True
1713,"designacion 0 (15, 16)","Profesor Ayudante A (119, 122)",True
1714,"designacion 0 (15, 16)","Prof , Ayudante A (148, 152)",True
1715,"designacion 0 (15, 16)","Profesor Asociado (181, 183)",True
1716,"designacion 0 (15, 16)","Profesor Asistente (218, 220)",True
1717,"designacion 0 (15, 16)","Profesor Ayudante A (228, 231)",True
1718,"designacion 1 (306, 307)","Profesores Asistentes (327, 329)",False
1719,"designacion 2 (321, 322)","Profesores Asistentes (327, 329)",True
1720,"designacion 3 (394, 395)","Profesor Ayudante A (432, 435)",False
1721,"designacion 4 (427, 428)","Profesor Ayudante A (432, 435)",True
1722,"designacion 5 (468, 469)","Profesor Ayudante A (486, 489)",False
1723,"designacion 6 (481, 482)","Profesor Ayudante A (486, 489)",True
1724,"designacion 7 (519, 520)","Profesor Ayudante A (540, 543)",False
1725,"designacion 8 (534, 535)","Profesor Ayudante A (540, 543)",True
1726,"designacion 9 (656, 657)","Profesor Ayudante A (677, 680)",True
